"","n_raw_reads","n_mapped_reads","expected_umis","ci_95_low","ci_95_high","dataset"
"1",0,0,0,0,0,"tenx_nextgem"
"2",9999997.44847719,8236254.93956083,8041663.88048827,8021321.07090628,8062058.2813104,"tenx_nextgem"
"3",19999994.8969544,16472509.8791217,15734349.032837,15702563.5250211,15766198.8816445,"tenx_nextgem"
"4",29999992.3454316,24708764.8186825,23117075.9635181,23078178.3210003,23156039.1669556,"tenx_nextgem"
"5",39999989.7939088,32945019.7582433,30219821.7760796,30176080.0574095,30263626.9005316,"tenx_nextgem"
"6",49999987.242386,41181274.6978041,37066082.2413871,37018780.2142718,37113444.710304,"tenx_nextgem"
"7",59999984.6908632,49417529.637365,43675746.7855046,43625669.4727541,43725881.5813213,"tenx_nextgem"
"8",69999982.1393403,57653784.5769258,50066022.7346484,50013683.412917,50118416.8294821,"tenx_nextgem"
"9",79999979.5878175,65890039.5164866,56251172.7055959,56196924.1312251,56305473.6477407,"tenx_nextgem"
"10",89999977.0362947,74126294.4560474,62243975.3374332,62188067.8959304,62299933.0400571,"tenx_nextgem"
"11",99999974.4847719,82362549.3956082,68055872.7229221,67998487.3952895,68113306.4792176,"tenx_nextgem"
"12",109999971.933249,90598804.3351691,73697138.2391027,73638406.9600679,73755916.3600407,"tenx_nextgem"
"13",119999969.381726,98835059.2747299,79176963.5823836,79116982.7924984,79236989.8453775,"tenx_nextgem"
"14",129999966.830203,107071314.214291,84503665.798494,84442505.977278,84564869.9164026,"tenx_nextgem"
"15",139999964.278681,115307569.153852,89684829.6492994,89622542.25678,89747160.331366,"tenx_nextgem"
"16",149999961.727158,123543824.093412,94727480.5999019,94664103.2224245,94790900.4083731,"tenx_nextgem"
"17",159999959.175635,131780079.032973,99638184.6437676,99573744.8341858,99702666.1559997,"tenx_nextgem"
"18",169999956.624112,140016333.972534,104423068.706025,104357586.846348,104488591.653984,"tenx_nextgem"
"19",179999954.072589,148252588.912095,109087590.529618,109021081.951844,109154139.681112,"tenx_nextgem"
"20",189999951.521067,156488843.851656,113636888.284752,113569364.825435,113704451.890613,"tenx_nextgem"
"21",199999948.969544,164725098.791216,118075872.051879,118007343.175009,118144440.724637,"tenx_nextgem"
"22",209999946.418021,172961353.730777,122408830.115305,122339303.706077,122478396.036949,"tenx_nextgem"
"23",219999943.866498,181197608.670338,126640457.274713,126569940.18482,126711013.65245,"tenx_nextgem"
"24",229999941.314975,189433863.609899,130774633.811251,130703132.216904,130846174.520789,"tenx_nextgem"
"25",239999938.763453,197670118.54946,134814920.4015,134742440.021848,134887439.769651,"tenx_nextgem"
"26",249999936.21193,205906373.489021,138765066.669886,138691612.881889,138838559.360443,"tenx_nextgem"
"27",259999933.660407,214142628.428581,142628508.256575,142554086.134503,142702969.231635,"tenx_nextgem"
"28",269999931.108884,222378883.368142,146408293.823335,146332908.124418,146483718.358381,"tenx_nextgem"
"29",279999928.557361,230615138.307703,150107366.490562,150031021.602612,150183750.227424,"tenx_nextgem"
"30",289999926.005839,238851393.247264,153728659.837026,153651359.700452,153805998.862361,"tenx_nextgem"
"31",299999923.454316,247087648.186825,157274879.771944,157196627.785268,157353170.712212,"tenx_nextgem"
"32",309999920.902793,255323903.126386,160748628.244028,160669427.160021,160827868.36976,"tenx_nextgem"
"33",319999918.35127,263560158.065946,164152564.910115,164072416.728579,164232752.243454,"tenx_nextgem"
"34",329999915.799747,271796413.005507,167488765.215003,167407671.074221,167569898.63869,"tenx_nextgem"
"35",339999913.248225,280032667.945068,170759254.173731,170677214.245745,170841333.536094,"tenx_nextgem"
"36",349999910.696702,288268922.884629,173966435.550993,173883448.940759,174049461.766936,"tenx_nextgem"
"37",359999908.145179,296505177.82419,177112331.042521,177028395.694122,177196306.187602,"tenx_nextgem"
"38",369999905.593656,304741432.76375,180198723.847604,180113836.457678,180283651.244832,"tenx_nextgem"
"39",379999903.042133,312977687.703311,183227433.642445,183141589.581492,183313317.941134,"tenx_nextgem"
"40",389999900.49061,321213942.642872,186200294.74428,186113487.986896,186287141.989935,"tenx_nextgem"
"41",399999897.939088,329450197.582433,189118993.192873,189031216.256707,189206810.888394,"tenx_nextgem"
"42",409999895.387565,337686452.521994,191984644.762713,191895888.656264,192073441.920832,"tenx_nextgem"
"43",419999892.836042,345922707.461555,194799159.182407,194709413.361695,194888946.368927,"tenx_nextgem"
"44",429999890.284519,354158962.401115,197564959.403857,197474211.737401,197655748.772663,"tenx_nextgem"
"45",439999887.732996,362395217.340676,200282672.64226,200190909.385453,200374477.961394,"tenx_nextgem"
"46",449999885.181474,370631472.280237,202953665.436504,202860871.212571,203046502.107106,"tenx_nextgem"
"47",459999882.629951,378867727.219798,205579250.316031,205485408.106227,205673135.382213,"tenx_nextgem"
"48",469999880.078428,387103982.159359,208160688.581909,208065779.721566,208255640.734772,"tenx_nextgem"
"49",479999877.526905,395340237.09892,210699192.907059,210603197.088936,210795232.481389,"tenx_nextgem"
"50",489999874.975382,403576492.03848,213195524.240818,213098419.524924,213292673.205401,"tenx_nextgem"
"51",499999872.42386,411812746.978041,215651156.383947,215552919.211905,215749438.327092,"tenx_nextgem"
"52",509999869.872337,420049001.917602,218067205.021823,217967810.237297,218166645.131037,"tenx_nextgem"
"53",519999867.320814,428285256.857163,220444711.026097,220344131.898791,220545336.064137,"tenx_nextgem"
"54",529999864.769291,436521511.796724,222784907.462261,222683115.715828,222886745.739207,"tenx_nextgem"
"55",539999862.217768,444757766.736285,225088630.835564,224985596.678846,225191712.177691,"tenx_nextgem"
"56",549999859.666246,452994021.675845,227356570.140034,227252262.299649,227460925.857283,"tenx_nextgem"
"57",559999857.114723,461230276.615406,229589672.622671,229484058.378636,229695335.472995,"tenx_nextgem"
"58",569999854.5632,469466531.554967,231788897.685596,231681942.906668,231895901.839649,"tenx_nextgem"
"59",579999852.011677,477702786.494528,233955083.083579,233846752.263779,234063464.088238,"tenx_nextgem"
"60",589999849.460154,485939041.434089,236089063.722586,235979320.017363,236198858.464827,"tenx_nextgem"
"61",599999846.908631,494175296.373649,238191543.854178,238080349.115827,238302790.52571,"tenx_nextgem"
"62",609999844.357109,502411551.31321,240263527.3894,240150842.200315,240376265.453386,"tenx_nextgem"
"63",619999841.805586,510647806.252771,242305774.876489,242191558.581859,242420045.034935,"tenx_nextgem"
"64",629999839.254063,518884061.192332,244318784.664573,244202995.402142,244434628.828678,"tenx_nextgem"
"65",639999836.70254,527120316.131893,246303240.146661,246185834.872937,246420701.410601,"tenx_nextgem"
"66",649999834.151017,535356571.071454,248259802.634034,248140737.148948,248378925.250367,"tenx_nextgem"
"67",659999831.599495,543592826.011014,250189112.263266,250068341.230198,250309941.62296,"tenx_nextgem"
"68",669999829.047972,551829080.950575,252091788.857602,251969265.819816,252214371.473666,"tenx_nextgem"
"69",679999826.496449,560065335.890136,253968419.746037,253844097.1401,254092803.240175,"tenx_nextgem"
"70",689999823.944926,568301590.829697,255819263.26368,255693092.427534,255945496.358372,"tenx_nextgem"
"71",699999821.393403,576537845.769258,257645180.926014,257517112.103789,257773313.43963,"tenx_nextgem"
"72",709999818.841881,584774100.708819,259446565.460995,259316547.803322,259576648.307687,"tenx_nextgem"
"73",719999816.290358,593010355.648379,261224113.664647,261092095.224756,261356198.858258,"tenx_nextgem"
"74",729999813.738835,601246610.58794,262978699.400422,262844627.126418,263112840.062259,"tenx_nextgem"
"75",739999811.187312,609482865.527501,264710337.09966,264574156.821909,264846587.471437,"tenx_nextgem"
"76",749999808.635789,617719120.467062,266419675.185628,266281331.600706,266558090.645462,"tenx_nextgem"
"77",759999806.084267,625955375.406623,268107163.265145,267966599.916698,268247800.346866,"tenx_nextgem"
"78",769999803.532744,634191630.346184,269773237.286684,269630396.541622,269916153.703772,"tenx_nextgem"
"79",779999800.981221,642427885.285744,271418339.122824,271273162.14438,271563593.795481,"tenx_nextgem"
"80",789999798.429698,650664140.225305,273042897.950832,272895324.669596,273190551.035097,"tenx_nextgem"
"81",799999795.878175,658900395.164866,274647351.199938,274497320.280812,274797464.120872,"tenx_nextgem"
"82",809999793.326653,667136650.104427,276232242.01373,276079690.821246,276384877.500231,"tenx_nextgem"
"83",819999790.77513,675372905.043988,277797530.909668,277642395.471152,277952753.031646,"tenx_nextgem"
"84",829999788.223607,683609159.983548,279343810.840912,279186025.807532,279501685.048228,"tenx_nextgem"
"85",839999785.672084,691845414.923109,280871520.533762,280711019.140544,281032113.696435,"tenx_nextgem"
"86",849999783.120561,700081669.86267,282381022.586392,282217736.610442,282544403.036595,"tenx_nextgem"
"87",859999780.569039,708317924.802231,283872669.758425,283706529.477508,284038907.332108,"tenx_nextgem"
"88",869999778.017516,716554179.741792,285346464.024555,285177398.174262,285515630.104607,"tenx_nextgem"
"89",879999775.465993,724790434.681352,286802891.947756,286630827.67949,286975059.506072,"tenx_nextgem"
"90",889999772.91447,733026689.620913,288244062.561382,288068925.39962,288419306.201222,"tenx_nextgem"
"91",899999770.362947,741262944.560474,289669213.222435,289490927.023721,289847609.220681,"tenx_nextgem"
"92",909999767.811424,749499199.500035,291078890.893489,290897377.805894,291260517.24096,"tenx_nextgem"
"93",919999765.259902,757735454.439596,292473192.925468,292288373.349232,292658129.366688,"tenx_nextgem"
"94",929999762.708379,765971709.379157,293850743.370967,293662535.921185,294039071.442345,"tenx_nextgem"
"95",939999760.156856,774207964.318718,295212638.756963,295020960.226927,295404441.822757,"tenx_nextgem"
"96",949999757.605333,782444219.258278,296558517.015753,296363282.344007,296753880.30187,"tenx_nextgem"
"97",959999755.05381,790680474.197839,297890959.041075,297692081.278451,298089969.667039,"tenx_nextgem"
"98",969999752.502288,798916729.1374,299208269.338625,299005659.620364,299411016.347591,"tenx_nextgem"
"99",979999749.950765,807152984.076961,300510821.370356,300304388.889687,300717395.754941,"tenx_nextgem"
"100",989999747.399242,815389239.016522,301799353.992931,301589005.976716,302009848.719692,"tenx_nextgem"
"101",999999744.847719,823625493.956082,303074018.277025,302859659.965813,303288528.306976,"tenx_nextgem"
"102",1009999742.2962,831861748.895643,304335050.462391,304116585.09272,304553672.768974,"tenx_nextgem"
"103",1019999739.74467,840098003.835204,305582450.795861,305359779.586271,305805284.37938,"tenx_nextgem"
"104",1029999737.19315,848334258.774765,306816776.444093,306589798.58348,307043922.3434,"tenx_nextgem"
"105",1039999734.64163,856570513.714326,308039264.559196,307807877.199173,308270825.859246,"tenx_nextgem"
"106",1049999732.09011,864806768.653887,309248425.331432,309012523.58263,309484507.168841,"tenx_nextgem"
"107",1059999729.53858,873043023.593447,310445155.971439,310204632.901719,310685865.535301,"tenx_nextgem"
"108",1069999726.98706,881279278.533008,311629662.729901,311384409.366763,311875109.260102,"tenx_nextgem"
"109",1079999724.43554,889515533.472569,312802909.364754,312552814.700397,313053204.146781,"tenx_nextgem"
"110",1089999721.88401,897751788.41213,313964277.993477,313709228.994265,314219534.350286,"tenx_nextgem"
"111",1099999719.33249,905988043.351691,315113092.529407,314852974.147579,315373425.810182,"tenx_nextgem"
"112",1109999716.78097,914224298.291252,316250462.912939,315985158.100781,316515990.478101,"tenx_nextgem"
"113",1119999714.22945,922460553.230812,317376679.323606,317106069.051936,317647520.527214,"tenx_nextgem"
"114",1129999711.67792,930696808.170373,318491830.625593,318215793.904253,318768106.795361,"tenx_nextgem"
"115",1139999709.1264,938933063.109934,319595924.472837,319314338.374231,319877758.887041,"tenx_nextgem"
"116",1149999706.57488,947169318.049495,320689593.284638,320402332.969388,320977111.146355,"tenx_nextgem"
"117",1159999704.02335,955405572.989056,321772636.821766,321479575.567682,322065965.230922,"tenx_nextgem"
"118",1169999701.47183,963641827.928617,322846267.585231,322547276.817584,323145535.507533,"tenx_nextgem"
"119",1179999698.92031,971878082.868177,323910541.933258,323605491.257812,324215880.168455,"tenx_nextgem"
"120",1189999696.36879,980114337.807738,324965809.833006,324654567.071399,325277350.979624,"tenx_nextgem"
"121",1199999693.81726,988350592.747299,326010192.031021,325692623.258212,326328070.451388,"tenx_nextgem"
"122",1209999691.26574,996586847.68686,327044227.089184,326720196.670889,327368578.870263,"tenx_nextgem"
"123",1219999688.71422,1004823102.62642,328070193.624554,327739564.257029,328401156.536729,"tenx_nextgem"
"124",1229999686.16269,1013059357.56598,329086298.883231,328748931.635947,329424012.342012,"tenx_nextgem"
"125",1239999683.61117,1021295612.50554,330093030.703434,329748785.0614,330437635.725298,"tenx_nextgem"
"126",1249999681.05965,1029531867.4451,331091397.474708,330740131.381367,331443036.633959,"tenx_nextgem"
"127",1259999678.50813,1037768122.38466,332081832.631929,331723402.534675,332440650.016102,"tenx_nextgem"
"128",1269999675.9566,1046004377.32422,333063472.173883,332697733.070248,333429613.339446,"tenx_nextgem"
"129",1279999673.40508,1054240632.26379,334036447.065991,333663252.549289,334410058.992001,"tenx_nextgem"
"130",1289999670.85356,1062476887.20335,335000091.771609,334619294.078493,335381322.813565,"tenx_nextgem"
"131",1299999668.30203,1070713142.14291,335953718.014956,335565168.072601,336342717.85817,"tenx_nextgem"
"132",1309999665.75051,1078949397.08247,336897486.916676,336501034.390059,337294406.528353,"tenx_nextgem"
"133",1319999663.19899,1087185652.02203,337832965.504311,337428458.842721,338237957.085401,"tenx_nextgem"
"134",1329999660.64747,1095421906.96159,338760415.132716,338347701.618643,339173632.071059,"tenx_nextgem"
"135",1339999658.09594,1103658161.90115,339681201.341687,339260127.137894,340102798.163586,"tenx_nextgem"
"136",1349999655.54442,1111894416.84071,340594104.914463,340164515.113565,341024237.239313,"tenx_nextgem"
"137",1359999652.9929,1120130671.78027,341499353.568647,341061092.240036,341938178.060272,"tenx_nextgem"
"138",1369999650.44138,1128366926.71983,342397628.480556,341950538.717003,342845302.800161,"tenx_nextgem"
"139",1379999647.88985,1136603181.65939,343288370.961093,342832294.927088,343745053.721337,"tenx_nextgem"
"140",1389999645.33833,1144839436.59895,344170438.015044,343705216.994184,344636288.734225,"tenx_nextgem"
"141",1399999642.78681,1153075691.53852,345045045.877461,344570520.316475,345520224.931693,"tenx_nextgem"
"142",1409999640.23528,1161311946.47808,345912381.667361,345428391.222793,346397050.24597,"tenx_nextgem"
"143",1419999637.68376,1169548201.41764,346772543.983674,346278927.567275,347266864.044294,"tenx_nextgem"
"144",1429999635.13224,1177784456.3572,347625629.558923,347122225.38216,348129763.783337,"tenx_nextgem"
"145",1439999632.58072,1186020711.29676,348471733.30437,347958378.92261,348985845.054647,"tenx_nextgem"
"146",1449999630.02919,1194256966.23632,349310948.353838,348787480.709638,349835201.629374,"tenx_nextgem"
"147",1459999627.47767,1202493221.17588,350143366.10625,349609621.571899,350677925.501551,"tenx_nextgem"
"148",1469999624.92615,1210729476.11544,350969076.266952,350424890.686699,351514106.929713,"tenx_nextgem"
"149",1479999622.37462,1218965731.055,351789144.782117,351234353.51211,352344812.371168,"tenx_nextgem"
"150",1489999619.8231,1227201985.99456,352603427.54896,352037865.499036,353169898.195555,"tenx_nextgem"
"151",1499999617.27158,1235438240.93412,353411318.22992,352834819.903948,353988758.49898,"tenx_nextgem"
"152",1509999614.72006,1243674495.87368,354214018.594433,353626418.126995,354802595.443418,"tenx_nextgem"
"153",1519999612.16853,1251910750.81325,355011636.937431,354412768.13339,355611517.679744,"tenx_nextgem"
"154",1529999609.61701,1260147005.75281,355803146.325439,355192842.698748,356414498.59521,"tenx_nextgem"
"155",1539999607.06549,1268383260.69237,356585179.455599,355963274.269828,357208171.174975,"tenx_nextgem"
"156",1549999604.51396,1276619515.63193,357359651.1744,356725977.470831,357994450.510493,"tenx_nextgem"
"157",1559999601.96244,1284855770.57149,358127626.026205,357482016.659784,358774401.357443,"tenx_nextgem"
"158",1569999599.41092,1293092025.51105,358891371.093326,358233658.764872,359550290.973044,"tenx_nextgem"
"159",1579999596.8594,1301328280.45061,359649765.065958,358979782.360564,360320998.195047,"tenx_nextgem"
"160",1589999594.30787,1309564535.39017,360402432.996483,359720012.415365,361086148.189615,"tenx_nextgem"
"161",1599999591.75635,1317800790.32973,361148673.422712,360453647.415576,361845039.577614,"tenx_nextgem"
"162",1609999589.20483,1326037045.26929,361887811.866813,361180012.863031,362596997.933587,"tenx_nextgem"
"163",1619999586.65331,1334273300.20885,362621359.301672,361900619.736641,363343534.248386,"tenx_nextgem"
"164",1629999584.10178,1342509555.14841,363349382.539265,362615534.886173,364084715.32558,"tenx_nextgem"
"165",1639999581.55026,1350745810.08798,364071947.256543,363324824.055565,364820606.804725,"tenx_nextgem"
"166",1649999578.99874,1358982065.02754,364789118.020407,364028551.906342,365551273.187888,"tenx_nextgem"
"167",1659999576.44721,1367218319.9671,365500958.312011,364726782.041776,366276777.864086,"tenx_nextgem"
"168",1669999573.89569,1375454574.90666,366207530.55043,365419577.029789,366997183.133709,"tenx_nextgem"
"169",1679999571.34417,1383690829.84622,366908896.115697,366106998.424973,367712550.232573,"tenx_nextgem"
"170",1689999568.79265,1391927084.78578,367605198.263949,366789189.683031,368423022.247346,"tenx_nextgem"
"171",1699999566.24112,1400163339.72534,368299874.048724,367469588.073167,369132036.029326,"tenx_nextgem"
"172",1709999563.6896,1408399594.6649,368989610.919268,368144881.300874,369836278.818388,"tenx_nextgem"
"173",1719999561.13808,1416635849.60446,369675210.384953,368815871.144792,370536551.881491,"tenx_nextgem"
"174",1729999558.58655,1424872104.54402,370358941.948197,369484827.394824,371235124.45185,"tenx_nextgem"
"175",1739999556.03503,1433108359.48358,371037968.773245,370148913.53852,371929159.41667,"tenx_nextgem"
"176",1749999553.48351,1441344614.42314,371712345.822316,370808184.875134,372618711.432319,"tenx_nextgem"
"177",1759999550.93199,1449580869.3627,372382127.16227,371462695.829152,373303834.239321,"tenx_nextgem"
"178",1769999548.38046,1457817124.30227,373047365.983094,372112499.968352,373984580.681272,"tenx_nextgem"
"179",1779999545.82894,1466053379.24183,373707876.619414,372757412.025274,374660764.727924,"tenx_nextgem"
"180",1789999543.27742,1474289634.18139,374361729.333498,373395502.68521,375330456.263469,"tenx_nextgem"
"181",1799999540.72589,1482525889.12095,375011150.943307,374028999.193698,375995881.696313,"tenx_nextgem"
"182",1809999538.17437,1490762144.06051,375656191.407484,374657951.961858,376657090.564417,"tenx_nextgem"
"183",1819999535.62285,1498998399.00007,376296899.897486,375282410.630776,377314131.601472,"tenx_nextgem"
"184",1829999533.07133,1507234653.93963,376933324.813391,375902424.086905,377967052.75311,"tenx_nextgem"
"185",1839999530.5198,1515470908.87919,377565179.648545,376517706.327539,378615567.043284,"tenx_nextgem"
"186",1849999527.96828,1523707163.81875,378190923.01873,377126716.493333,379258132.607763,"tenx_nextgem"
"187",1859999525.41676,1531943418.75831,378812497.058133,377731397.244948,379896691.072158,"tenx_nextgem"
"188",1869999522.86523,1540179673.69787,379429171.076066,378331018.443433,380530511.232708,"tenx_nextgem"
"189",1879999520.31371,1548415928.63744,380040553.385699,378925188.96677,381159200.874276,"tenx_nextgem"
"190",1889999517.76219,1556652183.577,380647858.185261,379515123.585005,381783973.645974,"tenx_nextgem"
"191",1899999515.21067,1564888438.51656,381251129.00451,380100866.417821,382404872.519908,"tenx_nextgem"
"192",1909999512.65914,1573124693.45612,381850408.72262,380682460.947354,383021939.804567,"tenx_nextgem"
"193",1919999510.10762,1581360948.39568,382445739.580728,381259950.030057,383635217.158054,"tenx_nextgem"
"194",1929999507.5561,1589597203.33524,383037163.194193,381833375.908886,384244745.600407,"tenx_nextgem"
"195",1939999505.00458,1597833458.2748,383624720.564558,382402780.22447,384850565.526349,"tenx_nextgem"
"196",1949999502.45305,1606069713.21436,384208494.233963,382968246.169183,385452758.859586,"tenx_nextgem"
"197",1959999499.90153,1614305968.15392,384791704.326934,383532994.511794,386054545.078452,"tenx_nextgem"
"198",1969999497.35001,1622542223.09348,385371208.020879,384093883.117683,386652780.736863,"tenx_nextgem"
"199",1979999494.79848,1630778478.03304,385947043.804689,384650951.15768,387247503.673837,"tenx_nextgem"
"200",1989999492.24696,1639014732.9726,386519249.607416,385204237.252404,387838751.158875,"tenx_nextgem"
